RESERVADO,RESERVADO,RESERVADO,CODIGO CLIENTE,TIPO,ANO,MÊS,DIA,Nº PEDIDO,REVERVADO,CODIGO VENDEDOR,VENDEDOR NOME,VALOR,CODIGO PRODUTO   ,PESO PRODUTO   ,VOLUME PRODUTO ,CUBAGEM PRODUTO,QUANTIDADE PRODUTO,valor produto
,,,04.601.397/0005-51,O,2026,7,27,1151436,,,,,00,150,,1,1,
,,,04.601.397/0126-45,O,2026,7,27,1148832,,,,,00,300,,2,1,
,,,04.601.397/0126-45,O,2026,7,27,1144473,,,,,00,300,,2,1,
,,,04.601.397/0248-17,O,2026,7,27,1150877,,,,,00,200,,1,1,
,,,04.601.397/0248-17,O,2026,7,27,1152419,,,,,00,50,,"0,1",1,
,,,04.601.397/0248-17,O,2026,7,27,1152412,,,,,00,1800,,6,1,
,,,04.601.397/0181-75,O,2026,7,27,1152641,,,,,00,7000,,10,1,
,,,04.601.397/0023-33,O,2026,7,27,1139918,,,,,00,220,,1,1,
,,,04.601.397/0024-14,O,2026,7,27,1152581,,,,,00,20,,"0,1",1,
,,,04.601.397/0024-14,O,2026,7,27,1152536,,,,,00,40,,"0,1",1,
,,,04.601.397/0040-34,O,2026,7,27,1152531,,,,,00,100,,"0,1",1,
,,,04.601.397/0013-60,O,2026,7,27,1152524,,,,,00,200,,1,1,
,,,04.601.397/0024-14,O,2026,7,27,1152418,,,,,00,40,,"0,1",1,
,,,04.601.397/0024-14,O,2026,7,27,1152384,,,,,00,40,,"0,1",1,
,,,04.601.397/0024-14,O,2026,7,27,1152742,,,,,00,300,,1,1,
,,,04.601.397/0002-09,O,2026,7,27,1152739,,,,,00,2000,,3,1,
,,,04.601.397/0013-60,O,2026,7,27,1152685,,,,,00,200,,"0,5",1,
,,,04.601.397/0060-88,O,2026,7,27,1152579,,,,,00,20,,"0,1",1,
,,,04.601.397/0002-09,O,2026,7,27,1152534,,,,,00,250,,1,1,
,,,04.601.397/0061-69,O,2026,7,27,1152528,,,,,00,400,,2,1,
,,,04.601.397/0207-49,O,2026,7,27,1152966,,,,,00,200,,1,1,
,,,04.601.397/0207-49,O,2026,7,27,1152927,,,,,00,60,,"0,1",1,
,,,04.601.397/0113-24,O,2026,7,27,1152803,,,,,00,20,,"0,1",1,
,,,04.601.397/0014-41,O,2026,7,27,1152687,,,,,00,500,,2,1,
,,,04.601.397/0040-34,O,2026,7,27,1152675,,,,,00,1000,,1,1,
,,,04.601.397/0235-00,O,2026,7,27,1132223,,,,,00,450,,2,1,
,,,04.601.397/0155-83,O,2026,7,27,1153039,,,,,00,50,,"0,1",1,
,,,04.601.397/0111-62,O,2026,7,27,1153022,,,,,00,50,,"0,1",1,
,,,04.601.397/0111-62,O,2026,7,27,1152939,,,,,00,200,,1,1,
,,,04.601.397/0040-34,O,2026,7,27,1152898,,,,,00,200,,1,1,
,,,04.601.397/0060-88,O,2026,7,27,1152885,,,,,00,200,,1,1,
,,,04.601.397/0059-44,O,2026,7,27,1152862,,,,,00,3000,,4,1,
,,,04.601.397/0061-69,O,2026,7,27,1152829,,,,,00,60,,"0,1",1,
,,,04.601.397/0040-34,O,2026,7,27,1152737,,,,,00,4200,,6,1,
,,,04.601.397/0061-69,O,2026,7,27,1152729,,,,,00,9000,,15,1,
,,,04.601.397/0014-41,O,2026,7,27,1152726,,,,,00,3000,,5,1,
,,,04.601.397/0013-60,O,2026,7,27,1152722,,,,,00,500,,1,1,
,,,04.601.397/0024-14,O,2026,7,27,1152692,,,,,00,40,,"0,1",1,
,,,04.601.397/0061-69,O,2026,7,27,1152688,,,,,00,850,,2,1,
,,,04.601.397/0040-34,O,2026,7,27,1152674,,,,,00,160,,1,1,
,,,04.601.397/0257-08,O,2026,7,27,1152188,,,,,00,4000,,20,1,
,,,04.601.397/0207-49,O,2026,7,27,1152983,,,,,00,1400,,4,1,
